,group,batch_group_number,only_female_owns_enterprises,number_enterprises_hh_C,child_under_6,treatment,shock_any,miss_shock_any,Age_C,Married_C,Muslim_C,HH_Size_C,Years_Education_C,Financial_Control_C,homeowner_C,miss_Age_C,miss_Married_C,miss_Muslim_C,miss_HH_Size_C,miss_Years_Education_C,miss_Financial_Control_C,miss_homeowner_C,No_Drain_C,miss_No_Drain_C,all_hh_enterprise_profits,female_entreprise_profits,miss_number_enterprises_hh_C,sec_loanamount1,sec_loanamount2,sec_loanamount3,sec_loanamount4,sec_loanamount5,sec_loanamount6,miss_sec_loanamount1,miss_sec_loanamount2,miss_sec_loanamount3,miss_sec_loanamount4,miss_sec_loanamount5,miss_sec_loanamount6
345,88/2,8.0,0.0,2.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
346,20,7.0,1.0,1.0,0.0,1.0,1.0,0.0,23.0,0.0,0.0,6.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
347,20,7.0,1.0,1.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
348,23,7.0,1.0,1.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,5.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,750.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
349,23,7.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,3.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,375.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
350,162,9.0,0.0,2.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3375.0,875.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
351,162,9.0,0.0,2.0,0.0,1.0,1.0,0.0,29.0,1.0,0.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.0,450.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
352,162,9.0,1.0,1.0,0.0,1.0,1.0,0.0,46.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,375.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
353,163,8.0,0.0,2.0,0.0,1.0,1.0,0.0,34.0,1.0,0.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
354,163,8.0,0.0,2.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,6.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
355,163,8.0,0.0,2.0,0.0,1.0,0.0,0.0,34.0,1.0,0.0,5.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
356,158/2,6.0,0.0,2.0,1.0,1.0,1.0,0.0,28.0,1.0,0.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,76.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
357,112,6.0,1.0,2.0,0.0,1.0,1.0,0.0,42.0,1.0,0.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
358,112,6.0,1.0,2.0,1.0,1.0,1.0,0.0,39.0,1.0,0.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,1000.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
